date,"Inflow mln, AMD","Inflow thousand, USD","Inflow of which non-commercial mln, AMD","Inflow of which non-commercial thousand, USD","Outflow mln, AMD","Outflow thousand, USD","Outflow of which non-commercial mln, AMD","Outflow of which non-commercial thousand, USD"
2017-04-01,53011.596698,109286.903805,39957.070595,82380.773595,41874.229921,86282.410537,11387.378155,23474.486527
2017-05-01,74886.955206,154924.813823,51390.591036,106291.766779,38286.255595,79194.943774,12849.243658,26577.766776
2017-06-01,71053.562917,147588.657025,54834.932822,113908.630824,38454.353734,79861.31315,13363.376195,27756.664055
2017-07-01,83891.255559,175122.287948,62896.010467,131290.546967,37279.478299,77811.143189,11430.034613,23859.643226
2017-08-01,83534.498039,174508.72466,64570.195488,134882.561477,36115.052114,75453.863373,12559.18005,26239.020048
2017-09-01,76696.261113,160351.293101,58047.613062,121371.871469,42839.653083,89580.849376,12140.651747,25386.878239
2017-10-01,78344.922907,162978.586127,60315.731919,125485.006759,51684.591664,107510.127807,12793.806601,26629.630049
2017-11-01,79505.330456,163807.598437,53869.545593,110976.095529,46188.051874,95191.355366,12819.892721,26410.092724
2017-12-01,94198.390998,194956.736212,63732.684196,131903.392581,55807.536015,115413.78243,14608.558847,30236.873408
2018-01-01,45678.253087,94671.745402,32677.37109,67727.838278,35849.762119,74346.944644,9360.134355,19407.316813
2018-02-01,60913.425226,126527.276544,38930.103586,80879.769734,47753.381404,99177.794208,10696.734432,22222.167343
2018-03-01,65859.050199,137101.476084,44651.365241,92953.389167,47986.308953,99890.207212,12528.749293,26080.922879
2018-04-01,60296.756646,125400.031501,39662.029496,82435.516093,45113.026529,93726.988941,11293.152332,23467.171378
2018-05-01,67602.012668,139672.542073,50597.090897,104527.365507,44698.787141,92357.866979,11891.954177,24563.345273
2018-06-01,79236.40595,164200.465308,60061.308373,124460.619062,36690.220866,76018.054276,11216.21176,23242.515811
2018-07-01,86382.514207,179414.731266,63917.502411,132733.34917,47427.352406,98501.193058,11798.894986,24505.820797
2018-08-01,77631.94173,160459.892563,60522.395833,124994.869012,46589.403828,96580.535934,12818.173911,26576.37421
2018-09-01,73394.982446,151681.640304,52079.165674,107643.854224,47864.615562,98958.857928,11310.276522,23379.147287
2018-10-01,85572.896157,176452.635788,57858.252772,119314.148925,58824.674714,121316.245038,12699.788547,26189.705765
2018-11-01,75677.799659,155629.962031,51862.822415,106645.002451,55502.289021,114136.128543,12313.629225,25327.822053
2018-12-01,84148.054791,173663.656881,56108.628344,115802.398461,59708.584161,123219.698161,12659.344031,26120.574632
2019-01-01,57853.087925,119094.123371,32605.587959,67110.508673,49263.62428,101393.973161,8592.995011,17685.346558
2019-02-01,68489.650911,140235.318693,37504.593718,76794.356049,45499.682877,93143.841172,11711.885278,23978.444934
2019-03-01,64417.042466,132136.217253,42365.531754,86881.166026,44889.629587,92083.150315,12080.652739,24776.554141
2019-04-01,69887.408479,144321.78794,47382.123218,97866.261131,53408.353043,110313.83324,12990.97671,26832.170927
2019-05-01,81150.718279,168850.605575,49989.231175,104031.501271,54332.993912,113060.070669,12972.282112,26996.142693
2019-06-01,77490.405171,161948.142286,53151.998931,111064.852252,60470.818749,126400.480811,11913.405444,24895.339861
2019-07-01,89898.874577,188669.844646,64559.223815,135482.109683,68886.795361,144569.798953,13482.186047,28294.10913
2019-08-01,86037.885548,180781.665929,61895.210817,130060.795005,74681.257559,156898.309635,15375.577598,32304.866166
2019-09-01,78881.20355,165626.360815,55976.724174,117529.607472,61614.929982,129381.663136,12718.908891,26706.221431
2019-10-01,86402.407839,181393.578851,57736.29807,121208.347759,53496.686577,112311.95466,13275.861883,27871.772423
2019-11-01,75996.027914,159291.730775,51159.028402,107234.420548,59448.353642,124631.009998,12278.241686,25736.687995
2019-12-01,103437.870736,216223.343374,60521.179566,126504.306143,71913.356315,150364.096667,14174.965593,29633.205471
2020-01-01,53957.558745,112607.836852,32506.227725,67845.0127,33465.44229,69845.196188,9074.246422,18938.025022
2020-02-01,58931.71793,123115.157366,36583.917553,76431.757166,50414.475715,105315.213121,10572.784398,22089.567206
2020-03-01,57464.975697,117840.099385,34754.659307,71319.897394,44480.618289,91024.428379,12591.887038,25819.530731
2020-04-01,44229.078703,90599.895795,26576.614319,54539.392013,31703.689346,65065.534314,7767.626627,15931.896076
2020-05-01,49392.952629,102016.449767,35096.274767,72491.60464,31926.419162,65926.639013,8830.280387,18234.952853
2020-06-01,81522.244708,169410.876876,55418.182089,115149.084243,60466.366441,125638.915706,11845.234088,24607.789538
2020-07-01,86125.139323,177699.177258,62452.598984,128871.445261,48234.784399,99564.814512,11561.818621,23859.261709
2020-08-01,94502.718871,194672.217396,62000.75351,127710.941412,49177.545755,101304.970322,11761.423103,24226.8744
2020-09-01,92689.470985,190509.471721,67030.072046,137758.790923,60917.680288,125142.637293,12342.268292,25370.477078
2020-10-01,103931.729612,211468.623753,66509.060938,135308.205167,57703.989654,117433.384942,12859.171224,26158.706947
2020-11-01,76239.834766,152665.348296,59257.455867,118648.880765,83901.828958,167680.558679,11045.646359,22109.131138
