date,"Currency in circulation mln, AMD","Demand deposits in drams mln, AMD","M1 mln, AMD","Time deposits in drams mln, AMD","M2 mln, AMD","Deposits in foreign currency mln, AMD","M2X mln, AMD"
2005-08-01,123825.360677,45661.710801,169487.071478,17822.218,187309.289478,158656.831837,345966.121315
2005-09-01,122942.0,48092.0,171034.0,18818.0,189852.0,142591.0,332443.0
2005-10-01,128047.537318,49831.519684,177879.057002,19970.727,197849.784002,140174.164013,338023.948015
2005-11-01,130027.898415,50391.445538,180419.343953,21759.37,202178.713953,134938.351985,337117.065938
2005-12-01,144311.033174,57749.868492,202060.901666,22740.99,224801.891666,140756.881682,365558.773348
2006-01-01,130757.76816,53935.223134,184692.991294,22496.251,207189.242294,147458.747761,354647.990055
2006-02-01,131038.934655,54401.708279,185440.642933,23367.888,208808.530933,143900.419058,352708.949991
2006-03-01,130267.752455,56500.102464,186767.854919,24142.099,210909.953919,147559.747835,358469.701754
2006-04-01,132578.832079,56208.385589,188787.217668,23908.7714,212695.989068,145117.0734,357813.062468
2006-05-01,135356.222799,57329.880762,192686.10356,23283.619,215969.722561,142636.450115,358606.172675
2006-06-01,144270.357731,61770.409529,206040.76726,23424.969,229465.73626,141293.713488,370759.449748
2006-07-01,153647.068326,63734.132537,217381.200864,24121.561,241502.761864,139189.010383,380691.772247
2006-08-01,162132.490034,64760.494029,226892.984063,26000.168,252893.152063,143968.769701,396861.921764
2006-09-01,172715.829593,74702.330211,247418.159804,29457.511,276875.670804,128519.611509,405395.282313
2006-10-01,178823.593754,74377.236137,253200.829891,32148.275,285349.104891,124657.84976,410006.954651
2006-11-01,183726.839282,83283.471471,267010.310753,33934.115,300944.425753,156027.747062,456972.172815
2006-12-01,211469.02867,83858.496132,295327.524802,46998.418,342325.942802,143410.949958,485736.89276
2007-01-01,193160.622008,82119.467505,275280.089513,52515.355,327795.444513,132179.394819,459974.839332
2007-02-01,197259.969894,91925.447695,289185.417588,49826.043,339011.460588,130633.536721,469644.997309
2007-03-01,201673.657021,94002.541275,295676.198297,51429.592,347105.790297,135822.442337,482928.232634
2007-04-01,214137.010568,88316.295023,302453.305591,52258.409,354711.714591,140134.805392,494846.519983
2007-05-01,216513.758637,88335.560068,304849.318706,54387.664,359236.982706,134700.954019,493937.936725
2007-06-01,227009.824227,91924.690785,318934.515012,66481.181,385415.696012,137620.074764,523035.770777
2007-07-01,248882.076075,99585.601808,348467.677882,74238.937,422706.614882,131572.130898,554278.74578
2007-08-01,260228.957781,99665.258354,359894.216135,78412.001,438306.217135,132168.702727,570474.919862
2007-09-01,260267.959005,110668.540978,370936.499983,75626.374,446562.873983,135327.699463,581890.573447
2007-10-01,273820.135297,116566.327643,390386.46294,77243.463,467629.92594,132526.307361,600156.233302
2007-11-01,304718.465711,121936.071202,426654.536913,96553.096,523207.632913,128425.901354,651633.534266
2007-12-01,325848.53609,131303.768902,457152.304992,104639.595,561791.899992,130142.882526,691934.782518
2008-01-01,306085.409653,123636.912609,429722.322262,108270.717945,537993.040207,126397.543804,664390.584011
2008-02-01,311376.607478,126175.942368,437552.549846,110001.648,547554.197846,127531.868332,675086.066179
2008-03-01,302377.994976,118281.700525,420659.695501,119281.145603,539940.841104,140331.176189,680272.017293
2008-04-01,306719.639118,119598.342509,426317.981627,119950.434507,546268.416134,146649.468718,692917.884852
2008-05-01,309883.337328,115948.888434,425832.225761,132304.318466,558136.544227,139528.812645,697665.356872
2008-06-01,320377.846044,112783.997491,433161.843535,134684.586769,567846.430304,143257.798807,711104.22911
2008-07-01,333922.420013,113484.10835,447406.528363,140327.462195,587733.990559,152610.147871,740344.13843
2008-08-01,339814.456299,118742.848878,458557.305177,140076.189108,598633.494285,154778.296226,753411.790511
2008-09-01,334007.062496,128040.831096,462047.893591,144248.428037,606296.321628,147262.525458,753558.847087
2008-10-01,335056.348523,118683.639265,453739.987788,144321.861083,598061.848871,156690.797106,754752.645976
2008-11-01,322097.603146,107991.665387,430089.268533,145286.156,575375.424533,145954.962107,721330.38664
2008-12-01,315948.692538,99692.234822,415640.92736,122317.226,537958.15336,169829.641217,707787.794577
2009-01-01,275237.228022,89958.315213,365195.543236,108921.619864,474117.163099,186891.148426,661008.311525
2009-02-01,229423.236092,81094.765647,310518.001738,76329.696522,386847.69826,241883.588313,628731.286572
2009-03-01,212197.223194,87099.724385,299296.947579,58512.402708,357809.350287,280089.771308,637899.121595
2009-04-01,217476.158536,77325.246883,294801.405419,66648.438481,361449.8439,281151.673662,642601.517562
