date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2014-04-01,341561.9291197667,192607.07210040666,534169.0012201733,287660.3384186,821829.3396387734,749616.4951837133,1571445.8348225001,73297.16745466666,177567.45405499998,60789.815891666665,147278.813501,27784.27991166667,67295.32351566666,11695.809331333332,28326.271278666667,45512.88754299999,110272.13053933333
2014-07-01,361074.04655263334,200889.82425045,561963.8708030833,298522.2849913233,860486.1557944067,741416.02404606,1601902.1798404667,90366.19540266665,221593.28118933333,74764.59425266668,183409.23282166666,33889.514048666664,82980.80169633334,11752.046426333332,28774.78389733333,56476.681354,138612.479493
2014-10-01,353063.6247287334,199025.84489946664,552089.4696282,297267.76371122664,849357.2333394267,801020.8294511467,1650378.0627905668,72367.78249766667,168484.94951099998,58000.080251,135158.89381233332,36067.268994666665,82884.18579999999,12521.513520666667,28925.296815333335,36300.513503,85600.76371099999
2015-01-01,301875.9717239,173287.89291028667,475163.86463418667,285439.30375145335,760603.1683856399,851938.98237524,1612542.1507609,43398.91968466667,90940.07655933332,32825.706463999995,68780.53274033334,26426.291155,55339.116545,12178.769041333333,25501.810317333333,16972.628529666665,35600.96001433334
2015-04-01,314523.5995136,183544.2412362433,498067.84074984334,288715.95388208,786783.7946319232,880423.17710013,1667206.9717320334,65094.22228966667,136621.55400733332,52533.905774666666,110264.455745,29267.90293833333,61430.54097066666,11683.310640333331,24528.200601333334,35826.31935133333,75191.01303666667
2015-07-01,331741.00723863335,183129.47258299333,514870.4798216266,290565.77890445996,805436.2587260866,932431.39171893,1737867.6504450336,81313.43790399999,169575.99894566668,57473.32007766666,119996.29709766665,29571.881497666665,61685.49295633333,13341.093260333333,27823.60824066667,51741.55640633334,107890.50598933334
2015-10-01,331198.71558723337,205455.98057811,536654.6961653434,294353.58592277335,831008.2820881167,960787.6116970567,1791795.8937851333,70232.39313,146748.806416,50939.33900566667,106471.204863,36044.221011,75208.81225333334,14038.686264333335,29328.880163666665,34188.172118999995,71539.99416266667
2016-01-01,300093.3036099,204842.20290223,504935.50651212997,327414.4921412033,832349.9986533333,1017035.0045721334,1849385.0032255,44533.222463666665,91072.769804,30274.517806,61941.44606166667,29433.019815333333,60196.45869266667,10783.778652333334,22054.37113633333,15100.202648333332,30876.311111333333
2016-04-01,319480.7508603333,203627.97673017,523108.72759050335,372867.37112329,895976.0987137933,990115.7752979033,1886091.8740117,55757.51183633334,116421.647368,44417.661340666666,92732.74105766667,29991.844050666667,62597.273645999994,11585.554245666666,24181.714324666667,25765.66778566667,53824.37372200001
2016-07-01,351400.23393673333,220102.94208158003,571503.1760183134,382222.62883005664,953725.80484837,1037877.6798755,1991603.4847238667,69518.33756933334,146241.9980296667,54828.53711866667,115329.94714166666,31158.047190666664,65562.77931,11674.472602333333,24560.173091666667,38360.290378666665,80679.21871966666
2016-10-01,365937.2246213667,241031.29148763,606968.5161089967,410836.19181428995,1017804.7079232833,1068419.3287293334,2086224.0366525997,75396.15874366666,157224.54723666667,51333.36056566667,107166.02247166667,40261.847118666665,83970.72220566667,13016.166432,27166.53301366667,35134.311624999995,73253.825031
2017-01-01,367629.55515616667,241277.43091212667,608906.9860682933,462886.9152075233,1071793.9012757998,1124123.8706858333,2195917.7719616336,50671.458807333336,104319.92881933333,35189.20750133333,72436.58556200001,29712.31710533333,61167.171850666666,10536.121849333334,21689.618656000002,20959.141702,43152.75696866666
2017-04-01,379114.70370773337,246541.69849031334,625656.4021980467,490849.5071792533,1116505.9093773,1122890.6155282,2239396.524905533,66317.37160700001,137266.791551,48727.53148433333,100860.39039933334,39538.279749999994,81779.55582033333,12533.332669333335,25936.305786,26779.091857000003,55487.23573066667
2017-07-01,410860.62182030006,286468.78602643334,697329.4078467333,521095.34419035,1218424.7520371,1149261.7758415,2367686.5278785997,81374.00490366666,169994.101903,61837.939672333334,129181.659971,38744.727832,80948.618646,12043.288803333335,25161.847171,42629.277071666664,89045.483257
2017-10-01,424690.6923193666,315034.2164822767,739724.9088016433,563636.0276325833,1303360.9364342,1191323.368706,2494684.3051401996,84016.21478699999,173914.30692533334,59305.98723599999,122788.16495633333,51226.72651766666,106038.42186766666,13407.419389666667,27758.865393666667,32789.488269333335,67875.88505766666
2018-01-01,404679.2675639,331880.88813013,736560.1556940299,618763.5483035999,1355323.7039976334,1192421.7176109,2547745.4216085332,57483.57617066667,119433.49934333334,38752.946639,80520.332393,43863.15082533334,91138.31535466667,10861.872693333333,22570.135678333336,13620.425345333335,28295.18398866666
2018-04-01,427176.591926,332346.8809047334,759523.4728307333,631263.7092618267,1390787.1820925667,1144986.7891024665,2535773.9711950333,69045.05842133333,143091.01296066667,50106.80958866666,103807.833554,42167.34484533333,87367.636732,11467.106089666666,23757.677487333334,26877.713576,55723.37622866667
2018-07-01,457750.9121597,360230.96078443667,817981.8729441366,636404.0074116801,1454385.8803557998,1175577.6378847666,2629963.518240567,79136.479461,163852.08804433333,58839.68797266667,121790.690802,47293.79059866667,98013.52897333335,11975.781806333332,24820.447431333334,31842.688862333336,65838.559071
2018-10-01,462996.7729556333,392973.79009506665,855970.5630507,657815.5100306867,1513786.0730813667,1189501.8862721,2703287.959353467,81799.58353566666,168582.08490000002,55276.56784366667,113920.51661233332,58011.84929866667,119557.35724733333,12557.587267666668,25879.367483333335,23787.734236999997,49024.72765266668
