date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2015-02-01,302794.9992025,175306.23010205,478101.22930455,286234.11192946,764335.34123401,857720.07888072,1622055.4201147,41875.684395,87505.064754,32600.853509,68113.186972,28688.658552,59965.159839,12845.067367,26843.696208,13187.025842999996,27539.904915000006
2015-03-01,296473.4858073,174230.2730194,470703.7588267,286150.79798063,756854.55680733,844882.07202643,1601736.6288338,54030.541486,113145.671646,40097.79478,83961.081536,29591.270649,61906.139141,15396.84685,32215.384664,24439.270837000004,51239.532505
2015-04-01,306227.8819384,179550.43293218,485778.31487058,291434.69132061,777213.00619119,858478.32523056,1635691.3314217,54443.626112,114735.496014,45518.899276,95910.394822,28019.7699,59089.209992,12710.138211,26801.380829,26423.856212,55646.28602200001
2015-05-01,312855.1001344,182919.09135752,495774.19149192,287198.09030969,782972.28180161,896010.71556601,1678982.9973676,63310.742863,131904.668731,51049.57499,106345.047104,28297.246269,58950.784223,10594.179068,22060.990994,35013.496594,72953.88450800002
2015-06-01,324487.816468,188163.19941903,512651.01588703,287515.08001594,800166.09590297,886780.49050382,1686946.5864068,77528.297894,163224.497277,61033.243058,128537.925309,31486.692646,66251.628697,11745.614642,24722.229981,46041.60524800001,96972.86858
2015-07-01,345013.7013914,188215.10888682,533228.81027822,294950.32197409,828179.13225231,936082.14501819,1764261.2772705,85695.223158,179652.944419,65418.982093,137172.868849,30971.494205,64913.276094,12682.941846,26579.889671,54723.728953,114739.668325
2015-08-01,328036.575827,173913.67880795,501950.25463495,293086.92373562,795037.17837057,939119.34718493,1734156.5255555,76694.375762,159778.638117,54977.388867,114665.611482,27530.005389,57364.910282,13170.092633,27443.782886,49164.370373,102413.727835
2015-09-01,322172.7444975,187259.63005421,509432.37455171,283660.09100367,793092.46555538,922092.68295367,1715185.1485091,81550.714792,169296.414301,52023.589273,108150.410962,30214.144899,62778.292493,14170.245302,29447.152165,51336.569893,106518.12180800001
2015-10-01,323571.5165998,210819.42035371,534390.93695351,287267.91587136,821658.85282487,930379.74888776,1752038.6017126,68390.937226,144660.08283,51594.642938,109122.322669,29635.509916,62691.878205,13761.521567,29109.955267,38755.42731,81968.204625
2015-11-01,324518.110055,195434.3663367,519952.4763917,290936.88665285,810889.36304455,956783.22666419,1767672.5897087,61221.919085,127575.337783,47480.727,98924.072834,29682.415366,61815.21508,12778.555063,26612.460603,31539.503719,65760.122703
2015-12-01,345506.5201069,210114.15504392,555620.67515082,304855.95524411,860476.63039493,995199.85953922,1855676.4899341,81084.323079,168010.998635,53742.647079,111367.219086,48814.737751,101119.343475,15575.982163,32264.224621,32269.585327999994,66891.65516
2016-01-01,306680.5708513,200305.88487743,506986.45572873,306427.09797301,813413.55370174,1003704.8897114,1817118.4434131,30377.926023,62515.960696,22736.204673,46787.913052,20667.586209,42519.080961,8455.716157,17391.826204,9710.339813999999,19996.879735000002
2016-02-01,296854.7464167,212704.7295594,509559.4759761,325644.51288623,835203.98886233,1023772.9990717,1858976.9879341,50748.035474,102770.732498,30690.230474,62190.292026,33703.190767,68232.824764,11575.597347,23460.260538,17044.844706999997,34537.90773399999
2016-03-01,296744.5935617,201515.99426986,498260.58783156,350171.86556437,848432.45339593,1023627.1249333,1872059.5783293,52473.705894,107931.616218,37397.118271,76846.133107,33928.28247,69837.470353,12320.022453,25311.026667,18545.423424,38094.145865
2016-04-01,309908.4314452,199641.41364269,509549.84508789,364555.98233548,874105.82742337,994563.5415817,1868669.3690051,50288.948414,104473.663532,39381.225845,81781.253492,31688.181192,65843.107014,11805.809519,24526.477142,18600.767222,38630.55651800001
2016-05-01,316494.2618705,198738.31585782,515232.57772832,372436.4157758,887668.99350412,981145.66964758,1868814.6631517,52382.293801,109514.079739,42595.718136,89050.896397,32309.911892,67555.515046,11736.051164,24536.002599,20072.381909,41958.56469299999
2016-06-01,332039.5592653,212504.20069,544543.7599553,381609.71525859,926153.47521389,994638.11466443,1920791.5898783,64601.293294,135277.198833,51276.040041,107366.073284,25977.439068,54393.198878,11214.802054,23482.663233,38623.854226,80883.999955
2016-07-01,348175.4739516,221265.8830466,569441.3569982,382633.85439213,952075.21139033,1048907.7663883,2000982.9777786,69368.316318,145594.691717,54796.441513,115013.904955,26857.753524,56365.210745,10658.492553,22370.56589,42510.562794,89229.48097200002
2016-08-01,351368.2692959,217336.41738094,568704.68667684,379820.65703769,948525.34371453,1032282.5396514,1980807.8833659,69564.379109,146293.583564,57945.106175,121853.938258,28584.651788,60115.599973,12586.142171,26469.020182,40979.727321,86177.983591
2016-09-01,354656.9585627,221706.5258172,576363.4843799,384213.37506035,960576.85944025,1032442.7335868,1993019.5930271,69622.317281,146837.718808,51744.063668,109121.998212,38031.73626,80207.527212,11778.783083,24840.933203,31590.581020999998,66630.191596
2016-10-01,356043.93742,222668.12616876,578712.06358876,401587.44569826,980299.50928702,1046152.524304,2026452.033591,64856.117556,136469.6443,51362.765914,108075.959125,36155.166138,76069.25944,12280.797717,25840.842852,28700.951417999997,60400.38486000002
